"client_code_client";"client_pro_part";"client_societe_nom";"client_societe_adresse";"client_societe_cp";"client_societe_ville";"client_contact_nom";"client_contact_prenom";"client_coefficient";"client_cond_paie";"client_encours";"client_observations";"client_liv_adresse";"client_liv_cp";"client_liv_ville";"client_liv_contact_nom";"client_liv_contact_tel";"client_liv_contact_mail";"client_fact_adresse";"client_fact_cp";"client_fact_ville";"client_fact_contact_nom";"client_fact_contact_tel";"client_fact_contact_mail";"commercial_code"
"44";"MJJ08WDL9XG";"IRF17CSR4TE";"SQS27ION3QY";"0";"YDM41KYK6GU";"Quyn Jacobson";"Alexander Bruce";NULL;NULL;NULL;NULL;"Ap #502-1773 Velit. Street";"1";"NJS25WYB2FR";"Damian Salazar";NULL;"risus@outlook.ca";"Ap #218-4668 Eu, Avenue";"3";"CSN38WPK4TH";"Solomon Weiss";NULL;"et.magnis@outlook.net";"7"
"45";"BZG80WYZ3DK";"VTB57KRA4RU";"WZB38NDP8AQ";"3";"EEW48UKO4MD";"Mara Evans";"Lev Lamb";NULL;NULL;NULL;NULL;"Ap #463-2998 Ante St.";"3";"LNQ46LGC8YX";"Louis Powers";NULL;"scelerisque@google.ca";"5718 Libero. Avenue";"1";"MRR69YLX3HT";"Kamal Peters";NULL;"ante.dictum.cursus@yahoo.com";"7"
"46";"NZT16JWK6MF";"CXL48ERK1UZ";"DUK65WOI3JJ";"2";"CYM12LYE5VR";"Phelan Franklin";"Matthew Alford";NULL;NULL;NULL;NULL;"168-7192 Cras St.";"3";"PBY11GRQ1PM";"Kelly Gaines";NULL;"lorem.auctor@hotmail.org";"Ap #327-6537 Nec St.";"4";"FTJ18NTJ4SB";"Amos Boyd";NULL;"elit@outlook.net";"6"
"47";"AUH45OMU6JP";"LUG87QEK7RH";"JIP15ONX1VJ";"4";"QBE25RLX9OA";"Demetrius Rice";"Conan Kidd";NULL;NULL;NULL;NULL;"7889 Et St.";"5";"UDJ25RFE3OO";"Hashim Lewis";NULL;"mauris@icloud.net";"Ap #717-2941 Erat Av.";"3";"GWP12LPI6CT";"Caesar Noble";NULL;"nullam.lobortis@yahoo.com";"4"
"48";"DGM24VAY5TT";"YHZ33USR3ON";"HXM51OSX0BN";"1";"LYX29ISO7GI";"India Conner";"Reed Adams";NULL;NULL;NULL;NULL;"Ap #892-2031 Maecenas Ave";"1";"VBA61VOT3ZV";"Brody Adams";NULL;"montes.nascetur@google.edu";"Ap #978-8104 Posuere Av.";"4";"SKB50OKU3LC";"Lewis Woodward";NULL;"risus.odio@outlook.edu";"5"
"49";"EFY46TYO0BM";"DNH05FLO8XN";"RSO57POJ6RU";"2";"FAT53BTP8LY";"Sebastian Burt";"Tiger Cash";NULL;NULL;NULL;NULL;"217-9261 Luctus Av.";"2";"ULA68TLC3EN";"Carter Sargent";NULL;"facilisis.magna@outlook.com";"566-2259 Vehicula Ave";"0";"SEN63YFU5NN";"Wade Mcneil";NULL;"commodo.hendrerit.donec@hotmail.ca";"6"
"50";"YYG34FKO7TM";"DCI24XMG8IE";"UIG90BBW6HT";"4";"OOC63MRJ4BJ";"Micah Delgado";"Eugenia Stein";NULL;NULL;NULL;NULL;"Ap #289-6863 Dictum Road";"2";"ZFI18TDA2QC";"Timothy Harding";NULL;"consectetuer.euismod@aol.edu";"P.O. Box 526, 6318 Elit, St.";"3";"OVI54RYK5DS";"Oscar Alston";NULL;"sem.elit.pharetra@icloud.org";"9"
"51";"QYN27MQG7WF";"DRJ64SMA2FJ";"IYW70MEF5FQ";"0";"GRP64FMJ6EO";"Jael Murphy";"Armando Stephens";NULL;NULL;NULL;NULL;"Ap #778-6042 Ullamcorper Avenue";"5";"CBP34USA4UD";"Nigel Hewitt";NULL;"bibendum.sed@yahoo.couk";"Ap #273-6062 Pellentesque St.";"5";"KLJ68YXQ6GA";"Zephania Burt";NULL;"enim.nisl@outlook.com";"3"
"52";"HQT21HYB6RE";"BXS35MIT9XD";"WOK66DYB2RY";"4";"NAG47XKH2IS";"Amal Johnston";"Ronan Wright";NULL;NULL;NULL;NULL;"P.O. Box 730, 8545 Mollis. Avenue";"4";"YMP98LQR5RE";"Hayes Vincent";NULL;"ligula.nullam@outlook.com";"377 Ut St.";"0";"ITC03GZU8DV";"Phyllis Wynn";NULL;"consectetuer@aol.couk";"6"
"53";"XPJ58FKF2PG";"XSF54NTU2DB";"HOU54DWS0AW";"4";"LPN39HJV5CN";"Alexandra Keith";"Cole Bates";NULL;NULL;NULL;NULL;"6427 A, Avenue";"2";"PBN96MDG3CO";"Justina Levy";NULL;"molestie.arcu@google.couk";"Ap #384-6860 Tincidunt Rd.";"1";"KBL24DRD5GO";"Wesley Koch";NULL;"sed@protonmail.org";"5"
"54";"DID44QIU4UN";"NWE11HOJ1GB";"GOQ74UUY7GP";"3";"CJS41WXV0TJ";"Melyssa Gould";"Hanae Vinson";NULL;NULL;NULL;NULL;"754-6609 Adipiscing St.";"1";"EVF08MMN3ZL";"Jordan Cote";NULL;"morbi.neque@outlook.ca";"779-8667 Lorem Street";"3";"DHT51YON4MV";"David Mann";NULL;"in.cursus@yahoo.com";"7"
"55";"WPP49XBS6EK";"ILU31WMT2BG";"DRX49KGI5OO";"2";"GIK20IRQ2KG";"Theodore Dominguez";"Gillian Graham";NULL;NULL;NULL;NULL;"P.O. Box 669, 4280 Est Avenue";"3";"GXH73PCJ1HG";"Quemby Workman";NULL;"sociis.natoque.penatibus@icloud.edu";"P.O. Box 880, 8566 Primis Rd.";"1";"ORC12CEH4OX";"Hedwig Henderson";NULL;"a.ultricies@hotmail.net";"9"
"56";"WKL28QIN8MY";"AQS94XKY5YD";"CTW53NDB1LP";"4";"ASE49ILP3LW";"Carissa Heath";"Timon Cunningham";NULL;NULL;NULL;NULL;"2812 Lorem Rd.";"2";"QIU23CWF6LX";"Kane Andrews";NULL;"cras.pellentesque.sed@protonmail.edu";"P.O. Box 259, 9967 Sed Rd.";"5";"ZYS14EJF6HJ";"William Sanchez";NULL;"vivamus.nisi@yahoo.com";"3"
"57";"FFL62PCU0HG";"NPH92CVX2EN";"HHF58HVZ5JY";"0";"CEN67EMR1XH";"Nathaniel Strickland";"Carolyn Kline";NULL;NULL;NULL;NULL;"Ap #788-6732 Turpis Road";"2";"KNM38UWY1RM";"Serena Nunez";NULL;"nullam.ut@hotmail.com";"P.O. Box 472, 8923 Orci, Street";"1";"LKK25KES8KD";"Bernard Hancock";NULL;"nibh.lacinia@hotmail.net";"3"
"58";"YCI80MYL4BF";"RIG38EHP2HQ";"BXT88FBZ5DY";"4";"FCH86FRW7FH";"Justin Ayers";"Jameson Head";NULL;NULL;NULL;NULL;"Ap #764-9004 Eget, St.";"1";"IQJ67UIU9YG";"Noelani Barron";NULL;"primis.in.faucibus@yahoo.couk";"Ap #762-2330 Hendrerit Avenue";"4";"MJW45RVH3US";"Ulric Bender";NULL;"in.aliquet.lobortis@icloud.net";"9"
"59";"VRO91BWB1GS";"JIL42OXM4FM";"BHA14BBG5OJ";"0";"DBI21DDI5CJ";"Amethyst Sawyer";"Tanisha Zimmerman";NULL;NULL;NULL;NULL;"P.O. Box 428, 400 Per St.";"5";"NOC04IYI1IR";"Katell Battle";NULL;"suspendisse@protonmail.com";"P.O. Box 348, 2838 Ridiculus Street";"3";"ZAT51LQQ3AW";"Kelsie Neal";NULL;"mauris.eu@google.edu";"8"
"60";"VUY17EZZ4CI";"SDL73UEL6LR";"WYX85TLS8SJ";"0";"BLQ20VZY4AP";"Brenna Cain";"Kyle Simon";NULL;NULL;NULL;NULL;"Ap #846-7125 Ligula Street";"4";"SKU00WWR7UW";"Alexandra Diaz";NULL;"fermentum.convallis.ligula@protonmail.couk";"Ap #530-4538 Metus. St.";"4";"MTH88NBM6SN";"Martin Battle";NULL;"venenatis.vel.faucibus@outlook.edu";"3"
"61";"HVQ65UJE7PP";"COK67PWX4EN";"VOI51VGO4TV";"3";"MRG42MND2RE";"Tanner Benson";"Kyra Mcdowell";NULL;NULL;NULL;NULL;"577-3492 Pharetra Avenue";"3";"GJM94OGZ8MF";"Xenos Rowe";NULL;"aliquet@google.edu";"Ap #120-5282 Nibh Rd.";"3";"IXJ82QKS8IP";"Paula Mcclure";NULL;"fermentum@protonmail.net";"7"
"62";"KST66LGP5XO";"XFW13QLZ2HI";"CWO45SMQ6VD";"4";"RUN03TLL6RF";"Coby Finley";"Yoshio Duncan";NULL;NULL;NULL;NULL;"145-1545 Auctor St.";"2";"HOG82PIY7FY";"Burton Nunez";NULL;"at@outlook.couk";"Ap #660-787 At St.";"4";"JXR83NCF2XC";"Scott Pratt";NULL;"feugiat.non@google.couk";"9"
"63";"LJY35DFV6FN";"DHD49BFX4ON";"MMT44WLR8PQ";"1";"CCX65QBJ9IJ";"Cole Carlson";"Jaquelyn Horne";NULL;NULL;NULL;NULL;"213-6567 Integer Rd.";"2";"HDX25UZA6GJ";"Scarlet Camacho";NULL;"ac.ipsum@google.couk";"Ap #532-8451 Aliquam St.";"2";"SBM88WHX7SM";"Porter Hogan";NULL;"ipsum.leo@hotmail.edu";"8"
